,title,price,rating,reviews,url
0,"uppercase Medium 17 Ltrs Vegan Leather (upto 14 inch) Laptop Backpack 2300EBP1 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","₹1,600.00",4.0 out of 5 stars,540 ratings,https://www.amazon.inNot Available
1,"Victorinox Altmont Classic, Rolltop Laptop Backpack, Olive Camo (609849)","₹7,632.00",4.9 out of 5 stars,17 ratings,https://www.amazon.inNot Available
2,Skybags Brat Black 46 Cms Casual Backpack,₹669.00,4.1 out of 5 stars,"5,534 ratings",https://www.amazon.inNot Available
3,American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),"₹1,199.00",4.0 out of 5 stars,"55,280 ratings",https://www.amazon.inNot Available
4,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,₹849.00,3.9 out of 5 stars,"3,451 ratings",https://www.amazon.inNot Available
5,AmazonBasics - Casual Backpack/Office Bag/ for a 15.6-inch Laptop,₹699.00,4.0 out of 5 stars,378 ratings,https://www.amazon.inNot Available
6,"MosQuick® Clear large Drawstring Bags Clear Plastic Travel Bags, Travel Garments Organizing Storage Plastic Bags ,Shoe bags , Stationery Bag,multipurpose bag - Translucent",₹420,4.1 out of 5 stars,74 ratings,https://www.amazon.inNot Available
7,"Presto! Oxo-Biodegradable Garbage Bags, Large (24 x 32 inches) - 15 bags/roll (Pack of 6, Black, plastic)",₹329.00,4.3 out of 5 stars,"30,012 ratings",https://www.amazon.inNot Available
8,Amazon Basics Laptop Backpack,₹649.00,4.2 out of 5 stars,507 ratings,https://www.amazon.inNot Available
9,Blue Tree Kids Backpack Mini Travel Bag 1-6 Years COW,₹298.00,4.0 out of 5 stars,385 ratings,https://www.amazon.inNot Available
10,"Amazon Brand - Solimo Diaper Backpack, Cat Print","₹1,349.00",4.0 out of 5 stars,39 ratings,https://www.amazon.inNot Available
11,Dyazo Slim 15.6 inch Laptop Backpack Business Notebook computer bag suitable for office College School Men & Women,₹599.00,4.5 out of 5 stars,9 ratings,https://www.amazon.inNot Available
12,Blue Tree Kids School Bag Soft Plush Backpack Cartoon Bags Mini Travel Bag for for Girls Boys Toddler Baby Cute Dog & Koala,₹448.00,4.0 out of 5 stars,81 ratings,https://www.amazon.inNot Available
13,"Half Moon 35 Ltrs Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",₹649.00,3.9 out of 5 stars,"16,975 ratings",https://www.amazon.inNot Available
14,"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",₹849.00,4.3 out of 5 stars,"5,607 ratings",https://www.amazon.inNot Available
15,Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack,"₹2,139.00",4.5 out of 5 stars,"7,390 ratings",https://www.amazon.inNot Available
16,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",₹679.00,4.0 out of 5 stars,"5,627 ratings",https://www.amazon.inNot Available
17,TRUE HUMAN EMPEROR® Anti-Theft backpack With USB charging Port Laptop bag/Office bag/college bag/travel bag with anti -theft back pocket (LEGEND),₹599,3.7 out of 5 stars,"2,464 ratings",https://www.amazon.inNot Available
18,"HOEXL 42L Expandable Laptop Backpack - Premium Laptop Backpacks for Men, Women for Travel, School, College - Tech Bag with USB - Bagpacker Bag for Men, 17 inch Laptop Bags for Multipurpose with Water-resistant, Smart Bag with Multiple Compartments","₹2,699.00",5.0 out of 5 stars,33 ratings,https://www.amazon.inNot Available
19,"uppercase 26 Ltrs Ryder Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","₹2,400.00",4.3 out of 5 stars,78 ratings,https://www.amazon.inNot Available
20,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,₹899.00,4.3 out of 5 stars,"6,515 ratings",https://www.amazon.inNot Available
21,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",₹249.00,4.1 out of 5 stars,"9,712 ratings",https://www.amazon.inNot Available
22,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,₹849.00,3.9 out of 5 stars,"3,451 ratings",https://www.amazon.inNot Available
23,POLICE Backpack for Men Casual Laptop Bag Office/Travel/College 30 Ltr Hedge Polyester - Black,"₹1,399.00",4.1 out of 5 stars,"5,858 ratings",https://www.amazon.inNot Available
24,Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,₹199.00,3.7 out of 5 stars,"7,059 ratings",https://www.amazon.inNot Available
25,Gear Classic 20L Small Size Faux Leather Water Resistant Anti Theft Unisex Laptop Backpack- Brown,₹979.00,4.4 out of 5 stars,"6,041 ratings",https://www.amazon.inNot Available
26,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),₹588.00,4.3 out of 5 stars,"12,365 ratings",https://www.amazon.inNot Available
27,"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","₹1,399.00",4.2 out of 5 stars,674 ratings,https://www.amazon.inNot Available
28,"uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","₹1,800",4.4 out of 5 stars,89 ratings,https://www.amazon.inNot Available
29,uppercase 14 Ltrs Medium (14.6 Inch) Laptop Backpack 2100EBP1 Roll Top Office College 3x More Water Repellent Sustainable Bags With Rainproof Zippers For Unisex,"₹1,000.00",4.2 out of 5 stars,179 ratings,https://www.amazon.inNot Available
30,POLICE Backpack for Men Casual Laptop Bag Office/Travel/College 30 Ltr Hedge Polyester - Black,"₹1,399.00",4.1 out of 5 stars,"5,858 ratings",https://www.amazon.inNot Available
31,FUR JADEN Pro Series Smart Tech Anti-Theft Laptop Backpack With USB-A and USB-C Type Charging Port for Men & Women For Business Professionals & College Students,"₹3,499.00",4.6 out of 5 stars,99 ratings,https://www.amazon.inNot Available
32,COSMUS Laptop Backpack for 15.6 inch Laptop Linux 39 litres Office Laptop Backpack,"₹1,878.00",4.3 out of 5 stars,445 ratings,https://www.amazon.inNot Available
33,Red Lemon Bange Hard Ironlook Briefcase Laptop Bag Anti-Theft Hard Shell Unisex Laptop Backpack with USB Charging Backpack for Men and Women,"₹4,990",4.4 out of 5 stars,108 ratings,https://www.amazon.inNot Available
34,"Half Moon Vision Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | (Navy and Black)",₹599.00,4.7 out of 5 stars,14 ratings,https://www.amazon.inNot Available
35,"uppercase Medium 17 Ltrs Vegan Leather (upto 14 inch) Laptop Backpack 2300EBP1 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","₹1,600",4.0 out of 5 stars,540 ratings,https://www.amazon.inNot Available
36,"Victorinox Altmont Classic, Rolltop Laptop Backpack, Olive Camo (609849)","₹7,632.00",4.9 out of 5 stars,17 ratings,https://www.amazon.inNot Available
37,Skybags Brat Black 46 Cms Casual Backpack,₹669.00,4.1 out of 5 stars,"5,534 ratings",https://www.amazon.inNot Available
38,American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),"₹1,199.00",4.0 out of 5 stars,"55,280 ratings",https://www.amazon.inNot Available
39,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,₹849,3.9 out of 5 stars,"3,451 ratings",https://www.amazon.inNot Available
40,AmazonBasics - Casual Backpack/Office Bag/ for a 15.6-inch Laptop,₹699.00,4.0 out of 5 stars,378 ratings,https://www.amazon.inNot Available
41,"MosQuick® Clear large Drawstring Bags Clear Plastic Travel Bags, Travel Garments Organizing Storage Plastic Bags ,Shoe bags , Stationery Bag,multipurpose bag - Translucent",₹420.00,4.1 out of 5 stars,74 ratings,https://www.amazon.inNot Available
42,"Presto! Oxo-Biodegradable Garbage Bags, Large (24 x 32 inches) - 15 bags/roll (Pack of 6, Black, plastic)",₹329.00,4.3 out of 5 stars,"30,012 ratings",https://www.amazon.inNot Available
43,Amazon Basics Laptop Backpack,₹649.00,4.2 out of 5 stars,507 ratings,https://www.amazon.inNot Available
44,Blue Tree Kids Backpack Mini Travel Bag 1-6 Years COW,₹298.00,4.0 out of 5 stars,385 ratings,https://www.amazon.inNot Available
45,"Amazon Brand - Solimo Diaper Backpack, Cat Print","₹1,349.00",4.0 out of 5 stars,39 ratings,https://www.amazon.inNot Available
46,Dyazo Slim 15.6 inch Laptop Backpack Business Notebook computer bag suitable for office College School Men & Women,₹599.00,4.5 out of 5 stars,9 ratings,https://www.amazon.inNot Available
47,Blue Tree Kids School Bag Soft Plush Backpack Cartoon Bags Mini Travel Bag for for Girls Boys Toddler Baby Cute Dog & Koala,₹448.00,4.0 out of 5 stars,81 ratings,https://www.amazon.inNot Available
48,"Half Moon 35 Ltrs Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",₹649.00,3.9 out of 5 stars,"16,975 ratings",https://www.amazon.inNot Available
49,"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",₹849.00,4.3 out of 5 stars,"5,607 ratings",https://www.amazon.inNot Available
50,Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack,"₹2,139.00",4.5 out of 5 stars,"7,390 ratings",https://www.amazon.inNot Available
51,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",₹679.00,4.0 out of 5 stars,"5,627 ratings",https://www.amazon.inNot Available
52,TRUE HUMAN EMPEROR® Anti-Theft backpack With USB charging Port Laptop bag/Office bag/college bag/travel bag with anti -theft back pocket (LEGEND),₹599.00,3.7 out of 5 stars,"2,464 ratings",https://www.amazon.inNot Available
53,"HOEXL 42L Expandable Laptop Backpack - Premium Laptop Backpacks for Men, Women for Travel, School, College - Tech Bag with USB - Bagpacker Bag for Men, 17 inch Laptop Bags for Multipurpose with Water-resistant, Smart Bag with Multiple Compartments","₹2,699.00",5.0 out of 5 stars,33 ratings,https://www.amazon.inNot Available
54,"uppercase 26 Ltrs Ryder Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","₹2,400.00",4.3 out of 5 stars,78 ratings,https://www.amazon.inNot Available
55,POLICE Backpack for Men Casual Laptop Bag Office/Travel/College 30 Ltr Hedge Polyester - Black,"₹1,399.00",4.1 out of 5 stars,"5,858 ratings",https://www.amazon.inNot Available
56,FUR JADEN Pro Series Smart Tech Anti-Theft Laptop Backpack With USB-A and USB-C Type Charging Port for Men & Women For Business Professionals & College Students,"₹3,499",4.6 out of 5 stars,99 ratings,https://www.amazon.inNot Available
57,COSMUS Laptop Backpack for 15.6 inch Laptop Linux 39 litres Office Laptop Backpack,"₹1,878.00",4.3 out of 5 stars,445 ratings,https://www.amazon.inNot Available
58,Red Lemon Bange Hard Ironlook Briefcase Laptop Bag Anti-Theft Hard Shell Unisex Laptop Backpack with USB Charging Backpack for Men and Women,"₹4,990.00",4.4 out of 5 stars,108 ratings,https://www.amazon.inNot Available
59,"Half Moon Vision Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | (Navy and Black)",₹599.00,4.7 out of 5 stars,14 ratings,https://www.amazon.inNot Available
60,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,₹899.00,4.3 out of 5 stars,"6,515 ratings",https://www.amazon.inNot Available
61,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",₹249.00,4.1 out of 5 stars,"9,712 ratings",https://www.amazon.inNot Available
62,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,₹849,3.9 out of 5 stars,"3,451 ratings",https://www.amazon.inNot Available
63,POLICE Backpack for Men Casual Laptop Bag Office/Travel/College 30 Ltr Hedge Polyester - Black,"₹1,399",4.1 out of 5 stars,"5,858 ratings",https://www.amazon.inNot Available
64,Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,₹199,3.7 out of 5 stars,"7,059 ratings",https://www.amazon.inNot Available
65,Gear Classic 20L Small Size Faux Leather Water Resistant Anti Theft Unisex Laptop Backpack- Brown,₹979,4.4 out of 5 stars,"6,041 ratings",https://www.amazon.inNot Available
66,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),₹588.00,4.3 out of 5 stars,"12,365 ratings",https://www.amazon.inNot Available
67,"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","₹1,399",4.2 out of 5 stars,674 ratings,https://www.amazon.inNot Available
68,"uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","₹1,800.00",4.4 out of 5 stars,89 ratings,https://www.amazon.inNot Available
69,uppercase 14 Ltrs Medium (14.6 Inch) Laptop Backpack 2100EBP1 Roll Top Office College 3x More Water Repellent Sustainable Bags With Rainproof Zippers For Unisex,"₹1,000.00",4.2 out of 5 stars,179 ratings,https://www.amazon.inNot Available
70,"uppercase Medium 23 Ltrs Tall Boy (14.6 inch) Laptop Backpack 2500EBP1 3x more water resistant sustainable bag with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","₹1,700.00",4.0 out of 5 stars,269 ratings,https://www.amazon.inNot Available
71,"uppercase Medium 17 Ltrs Vegan Leather (upto 14 inch) Laptop Backpack 2300EBP1 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","₹1,600.00",4.0 out of 5 stars,540 ratings,https://www.amazon.inNot Available
72,Skybags Brat Black 46 Cms Casual Backpack,₹669.00,4.1 out of 5 stars,"5,534 ratings",https://www.amazon.inNot Available
73,American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),"₹1,199.00",4.0 out of 5 stars,"55,280 ratings",https://www.amazon.inNot Available
74,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,₹849,3.9 out of 5 stars,"3,451 ratings",https://www.amazon.inNot Available
75,AmazonBasics - Casual Backpack/Office Bag/ for a 15.6-inch Laptop,₹699.00,4.0 out of 5 stars,378 ratings,https://www.amazon.inNot Available
76,"MosQuick® Clear large Drawstring Bags Clear Plastic Travel Bags, Travel Garments Organizing Storage Plastic Bags ,Shoe bags , Stationery Bag,multipurpose bag - Translucent",₹420,4.1 out of 5 stars,74 ratings,https://www.amazon.inNot Available
77,"Presto! Oxo-Biodegradable Garbage Bags, Large (24 x 32 inches) - 15 bags/roll (Pack of 6, Black, plastic)",₹329.00,4.3 out of 5 stars,"30,012 ratings",https://www.amazon.inNot Available
78,Amazon Basics Laptop Backpack,₹649.00,4.2 out of 5 stars,507 ratings,https://www.amazon.inNot Available
79,Blue Tree Kids Backpack Mini Travel Bag 1-6 Years COW,₹298.00,4.0 out of 5 stars,385 ratings,https://www.amazon.inNot Available
80,"Amazon Brand - Solimo Diaper Backpack, Cat Print","₹1,349.00",4.0 out of 5 stars,39 ratings,https://www.amazon.inNot Available
81,Dyazo Slim 15.6 inch Laptop Backpack Business Notebook computer bag suitable for office College School Men & Women,₹599.00,4.5 out of 5 stars,9 ratings,https://www.amazon.inNot Available
82,Blue Tree Kids School Bag Soft Plush Backpack Cartoon Bags Mini Travel Bag for for Girls Boys Toddler Baby Cute Dog & Koala,₹448.00,4.0 out of 5 stars,81 ratings,https://www.amazon.inNot Available
83,"Half Moon 35 Ltrs Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",₹649.00,3.9 out of 5 stars,"16,975 ratings",https://www.amazon.inNot Available
84,"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",₹849,4.3 out of 5 stars,"5,607 ratings",https://www.amazon.inNot Available
85,Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack,"₹2,139.00",4.5 out of 5 stars,"7,390 ratings",https://www.amazon.inNot Available
86,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",₹679,4.0 out of 5 stars,"5,627 ratings",https://www.amazon.inNot Available
87,TRUE HUMAN EMPEROR® Anti-Theft backpack With USB charging Port Laptop bag/Office bag/college bag/travel bag with anti -theft back pocket (LEGEND),₹599.00,3.7 out of 5 stars,"2,464 ratings",https://www.amazon.inNot Available
88,"HOEXL 42L Expandable Laptop Backpack - Premium Laptop Backpacks for Men, Women for Travel, School, College - Tech Bag with USB - Bagpacker Bag for Men, 17 inch Laptop Bags for Multipurpose with Water-resistant, Smart Bag with Multiple Compartments","₹2,699.00",5.0 out of 5 stars,33 ratings,https://www.amazon.inNot Available
89,Half Moon Strike 35L Unisex Spacious School/Laptop/College/Office Travel Backpack Bag for Men Women Boys & Girls with 15.6 inch Padded Laptop Compartment & Multiple Pockets,₹699.00,3.8 out of 5 stars,631 ratings,https://www.amazon.inNot Available
90,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,₹899.00,4.3 out of 5 stars,"6,515 ratings",https://www.amazon.inNot Available
91,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",₹249.00,4.1 out of 5 stars,"9,712 ratings",https://www.amazon.inNot Available
92,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,₹849.00,3.9 out of 5 stars,"3,451 ratings",https://www.amazon.inNot Available
93,POLICE Backpack for Men Casual Laptop Bag Office/Travel/College 30 Ltr Hedge Polyester - Black,"₹1,399",4.1 out of 5 stars,"5,858 ratings",https://www.amazon.inNot Available
94,Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,₹199.00,3.7 out of 5 stars,"7,059 ratings",https://www.amazon.inNot Available
95,Gear Classic 20L Small Size Faux Leather Water Resistant Anti Theft Unisex Laptop Backpack- Brown,₹979,4.4 out of 5 stars,"6,041 ratings",https://www.amazon.inNot Available
96,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),₹588.00,4.3 out of 5 stars,"12,365 ratings",https://www.amazon.inNot Available
97,"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","₹1,399",4.2 out of 5 stars,674 ratings,https://www.amazon.inNot Available
